SURVEY_NAME,BIRTHDATE,SEX,GENDER,Q1,Q1_YES,Q1_OTHER,ADDRESS,FAMILY_INCOME,Q2,SCHOOL,SCHOOL_TYPE,ACADEMIC_STATUS,COURSE,Q3,Q3_OTHER,Q4,Q5,Q6,Q6_OTHER,Q7,Q8,Q8_OTHER,Q9,Q9_OTHER,Q3_Free Higher Education (FHE),Q3_Tertiary Education Subsidy (TES),Q6_My family socioeconomic status,Q6_My enrollment in state/government school,Q6_The type of course I am enrolled in,Q6_Others,Q9_Uniform,Q9_Books and other school materials,Q9_Subsidy for school activities,Q9_Others,AGE
Student Survey Entry,2002,Male,,Yes,,,"Camarines Norte,Basud,Lidong","Less than 50,000",Yes,Bicol University-Main,Local University and Colleges (LUC),Regular,Computer Science,"Free Higher Education (FHE),Tertiary Education Subsidy (TES)",,Yes,10,My family’s socioeconomic status,,Yes,A patron or donor who is not a relative will support me,,Uniform,,1.0,1.0,0.0,,,,1.0,,,,21
Student Survey Entry,2002,Female,,No,,,"Albay,Camalig,Ilawod","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,Yes,3,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Female,,No,,,"Albay,Daraga (Locsin),Sagpon","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,4,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Bacacay,Barangay 13 (Pob.)","Less than 50,000",No,Bicol University-Main,Local University and Colleges (LUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,Subsidy for school activities,,1.0,,0.0,0.0,1.0,,,,1.0,,21
Student Survey Entry,2001,Female,,No,,,"Camarines Sur,Bato,Santiago (Pob.)","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science Information Technology,Free Higher Education (FHE),,No,4,My family’s socioeconomic status,,Yes,My parents or my other relatives will support it,,Uniform,,1.0,,0.0,,,,1.0,,,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Legazpi City (Capital),Bgy. 7 - Baño (Pob.)","Less than 50,000",No,Bicol University-Main,Local University and Colleges (LUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,3,,,Yes,,,Uniform,,1.0,,,,,,1.0,,,,21
Student Survey Entry,2002,Male,,No,,,"Masbate,Monreal,Poblacion","Less than 50,000",No,Bicol University-Main,Local University and Colleges (LUC),Regular,BSIT,Free Higher Education (FHE),,No,4,"My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Masbate,San Jacinto,Calipat-An","Greater than 100,000",No,Bicol College,State University and Colleges (SUC),Regular,BS Bachelor Science,Free Higher Education (FHE),,No,,The type of course I am enrolled in,,No,I will work part time to support it,,Uniform,,1.0,,,,1.0,,1.0,,,,22
Student Survey Entry,2002,Female,,No,,,"Sorsogon,Gubat,Nato","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,6,"My family’s socioeconomic status,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,0.0,,1.0,,,,1.0,,21
Student Survey Entry,1999,Female,,No,,,"Camarines Norte,Jose Panganiban,Santa Cruz","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Irregular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,Yes,3,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Uniform,,1.0,,,0.0,,,1.0,,,,24
