SURVEY_NAME,BIRTHDATE,SEX,GENDER,Q1,Q1_YES,Q1_OTHER,ADDRESS,FAMILY_INCOME,Q2,SCHOOL,SCHOOL_TYPE,COURSE,STUDY_YEARS,Q3,Q3_OTHER,Q4,Q4_YES,Q5,Q5_OTHER,Q6,Q7,Q8,Q9,Q9_YES,Q10,Q11,Q12,Q13,Q14,Q14_OTHER,Q5_International employment,Q5_Establish own business,Q5_Others,Q5_Obtain scholarship for graduate school,Q5_local employment (within),Q5_local employment (outside),Q14_Free Higher Education (FHE),Q14_Tertiary Education Subsidy (TES),AGE
Student Survey Exit,2000,Female,,No,,,"Albay,Legazpi City (Capital),Bgy. 16 - Kawit-East Washington Drive (Pob.)","Less than 50,000",Yes,Bicol University-Main,State Universities and Colleges (SUCs),"College of Science, BS Computer Science",4,No,,No,,"Local employment, within the region only ",,7,10,"UAQTE is truly beneficial. My family was grateful and felt at ease. I was more focused on studying and didn't much think about how could  I pay my tuition fees. As for the problems, we still have encountered financial problems, but again, this program has helped me and my family to pursue my dream course. With delayed stipend, I understand that it follows processes but I wish to shorten it.",,,,,,,,,,,,,1.0,,,,23.0
Student Survey Exit,1999,Female,,No,,,"Albay,Legazpi City (Capital),","Less than 50,000",No,Bicol University-Main,State Universities and Colleges (SUCs),Bicol University-Main,4,No,,No,,"Local employment, within the region only ",,6,5,,,,,,,,,,,,,,1.0,,,,24.0
Student Survey Exit,2002,Female,,No,,,"Albay,City Of Tabaco,Bangkilingan","Within 50,000 - 100,000",No,Bicol University-Main,State Universities and Colleges (SUCs),test,2018-2022,No,,Yes,Work in the country (public or private) for at least x years,"Local employment, outside of the region ",,3,10,test,,,,,,,,,,,,,,1.0,,,21.0
Student Survey Exit,2000,Female,,No,,,"Albay,Legazpi City (Capital),Bgy. 34 - Oro Site-Magallanes St. (Pob.)","Within 50,000 - 100,000",Yes,Bicol University-Main,State Universities and Colleges (SUCs),BSBA Financial Management ,2019,No,,,,"Local employment, outside of the region ",,5,5,,,,,,,,,,,,,,,1.0,,,23.0
Student Survey Exit,1997,Male,Man,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",Yes,Lorma Colleges,Private Higher Institutions,Bachelor of Science in Computer Engineering,4,No,,No,,International employment,,10,10,Blessed because i had given an opportunity that can help with my financial during my stay at college,Yes,Additional budget for each scholar,financial freedom,,,Good,,,1.0,,,,,,,,26.0
Student Survey Exit,2000,Male,Man,No,,,"La Union,Naguilian","50,000 – 74,999",Yes,Lorma Colleges,Local Universities and Colleges (LUCs),Computer Engineering ,4,No,,Yes,Work in the country (public or private) for at least 2 years,"Local employment, within the region only ",,10,8,It was great because it helped me a lot especially financially. It also helped me to become more responsible on many things,Yes,Higher scholarship ,The challenges I’ve encountered is mainly is the pressure of course of being scholar. But I cope up with this because i made it as a motivation to finish college,,,A great program for all current and previous scholars,,,,,,,1.0,,,,23.0
Student Survey Exit,1999,Female,Woman,No,,,"La Union,Bauang","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,4,No,,Yes,Work in the government for at least 2 years,"Local employment, outside of the region ",,8,10,It was a big help to every student in the university specially those who want to study but lacks in financially,No,,The UAQTE gives hope in finishing our study,,,It was really effective and helpful,,,,,,,,1.0,,,24.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,City Of San Fernando (Capital)","25,000 – 49,999",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"Bachelor of Science in Information Technology
",4,No,,Yes,Work in the government for at least 2 years,International employment,,6,5,"Schooling is not a burden to me. Because of free tuition, I have more chances to spend money on my projects in school",Yes,Give priorities to students that really need the scholarship,"as of now, we haven't encountered any problems in the family",,,good,,,1.0,,,,,,,,22.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,San Juan","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,4,No,,No,,"Local employment, within the region only ",,8,8,THEIR SERVICES IS VERY GOOD . IT WAS A BIG HELP TO BE ONE OF THIER BENEFICIARIES. IN EVERY STUDENT THAT THEY HELP CAN MAKE THIER DREAM BECOME POSSIBLE.  ,No,,"to those students/family who have financial problem,UAQTE was a big help to the students
",,,EXELLENT,,,,,,,1.0,,,,22.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4,No,,No,,"Local employment, within the region only ",,8,8,"Their services is working smooth, secondly a big help to the students. ",No,,  to those students who have an a financial problem this will serve as a solution for them. ,,,all are worth it and satisfying from the end,,,,,,,1.0,,,,22.0
