REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,FHE_GRANTEES,SEX_M,SEX_F,NOT_INDICATED,YEAR
01 - Ilocos Region,Binalatongan Community College,LUC,SAN CARLOS CITY,PANGASINAN,721,290.0,431.0,0.0,2018-2019
01 - Ilocos Region,Don Mariano Marcos Memorial State University,SUC,SAN FERNANDO CITY,LA UNION,11726,5280.0,6446.0,0.0,2018-2019
01 - Ilocos Region,Ilocos Sur Community College,LUC,VIGAN CITY,ILOCOS SUR,987,412.0,575.0,0.0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College,SUC,SANTA MARIA,ILOCOS SUR,4392,2007.0,2385.0,0.0,2018-2019
01 - Ilocos Region,Mariano Marcos State University,SUC,BATAC CITY,ILOCOS NORTE,7823,3250.0,4573.0,0.0,2018-2019
01 - Ilocos Region,North Luzon Philippines State College,SUC,CANDON CITY,ILOCOS SUR,2377,1013.0,1364.0,0.0,2018-2019
01 - Ilocos Region,Pangasinan State University,SUC,LINGAYEN,PANGASINAN,18784,7870.0,10871.0,43.0,2018-2019
01 - Ilocos Region,University Of Eastern Pangasinan,LUC,BINALONAN,PANGASINAN,1251,541.0,710.0,0.0,2018-2019
01 - Ilocos Region,University Of Northern Philippines,SUC,VIGAN CITY,ILOCOS SUR,7911,3576.0,4335.0,0.0,2018-2019
01 - Ilocos Region,Urdaneta City University,LUC,URDANETA CITY,PANGASINAN,2986,1151.0,1835.0,0.0,2018-2019
02 - Cagayan Valley,Batanes State College,SUC,BASCO,BATANES,433,239.0,194.0,0.0,2018-2019
02 - Cagayan Valley,Cagayan State University,SUC,TUGUEGARAO CITY,CAGAYAN,11607,4346.0,7261.0,0.0,2018-2019
02 - Cagayan Valley,Isabela State University,SUC,ECHAGUE,ISABELA,22365,10719.0,11646.0,0.0,2018-2019
02 - Cagayan Valley,Nueva Vizcaya State University,SUC,BAYOMBONG,NUEVA VIZCAYA,8589,3796.0,4793.0,0.0,2018-2019
02 - Cagayan Valley,Quirino State University,SUC,DIFFUN,QUIRINO PROVINCE,3406,1481.0,1925.0,0.0,2018-2019
03 - Central Luzon,Aurora State College Of Technology,SUC,BALER,AURORA,2293,1126.0,1167.0,0.0,2018-2019
03 - Central Luzon,Baliwag Polytechnic College,LUC,BALIUAG,BULACAN,2094,868.0,1226.0,0.0,2018-2019
03 - Central Luzon,Bataan Peninsula State University,SUC,CITY OF BALANGA (CAPITAL),BATAAN,10932,5258.0,5674.0,0.0,2018-2019
03 - Central Luzon,Bulacan Agricultural State College,SUC,SAN ILDEFONSO,BULACAN,3059,1441.0,1618.0,0.0,2018-2019
03 - Central Luzon,Bulacan Polytechnic College,LUC,CITY OF MALOLOS (CAPITAL),BULACAN,1165,431.0,734.0,0.0,2018-2019
03 - Central Luzon,Bulacan State University,SUC,CITY OF MALOLOS (CAPITAL),BULACAN,32445,15220.0,17225.0,0.0,2018-2019
03 - Central Luzon,Central Luzon State University,SUC,SCIENCE CITY OF MUÑOZ,NUEVA ECIJA,8694,3593.0,5101.0,0.0,2018-2019
03 - Central Luzon,City College Of Angeles,LUC,CITY OF ANGELES,PAMPANGA,2124,967.0,1157.0,0.0,2018-2019
03 - Central Luzon,City College Of San Fernando,LUC,CITY OF SAN FERNANDO (CAPITAL),PAMPANGA,503,99.0,404.0,0.0,2018-2019
03 - Central Luzon,Don Honorio Ventura Technological State University,SUC,BACOLOR,PAMPANGA,19130,9915.0,9215.0,0.0,2018-2019
03 - Central Luzon,Eduardo L. Joson Memorial College,LUC,CITY OF PALAYAN (CAPITAL),NUEVA ECIJA,761,191.0,570.0,0.0,2018-2019
03 - Central Luzon,Guagua Community College,LUC,GUAGUA,PAMPANGA,230,89.0,141.0,0.0,2018-2019
03 - Central Luzon,Kolehiyo Ng Subic,LUC,CITY OF OLONGAPO,ZAMBALES,1922,755.0,1167.0,0.0,2018-2019
03 - Central Luzon,Mabalacat City College,LUC,MABALACAT CITY,PAMPANGA,3176,1357.0,1819.0,0.0,2018-2019
03 - Central Luzon,Norzagaray College,LUC,NORZAGARAY,BULACAN,730,280.0,450.0,0.0,2018-2019
03 - Central Luzon,Nueva Ecija University Of Science And Technology,SUC,CITY OF CABANATUAN,NUEVA ECIJA,16222,7537.0,8685.0,0.0,2018-2019
03 - Central Luzon,Pambayang Dalubhasaan Ng Marilao,LUC,MARILAO,BULACAN,1473,625.0,848.0,0.0,2018-2019
03 - Central Luzon,Pampanga State Agricultural University,SUC,MAGALANG,PAMPANGA,4069,1926.0,2143.0,0.0,2018-2019
03 - Central Luzon,Philippine Merchant Marine Academy,SUC,SAN NARCISO,ZAMBALES,760,734.0,26.0,0.0,2018-2019
03 - Central Luzon,Polytechnic College Of Botolan,LUC,BOTOLAN,ZAMBALES,468,174.0,294.0,0.0,2018-2019
03 - Central Luzon,Polytechnic College Of The City Of Meycauayan,LUC,CITY OF MEYCAUAYAN,BULACAN,892,290.0,602.0,0.0,2018-2019
03 - Central Luzon,President Ramon Magsaysay State University,SUC,IBA (CAPITAL),ZAMBALES,7465,3688.0,3777.0,0.0,2018-2019
03 - Central Luzon,Tarlac Agricultural University,SUC,CAMILING,TARLAC,3413,1565.0,1848.0,0.0,2018-2019
03 - Central Luzon,Tarlac State University,SUC,CITY OF TARLAC (CAPITAL),TARLAC,16721,7695.0,9026.0,0.0,2018-2019
04 - CALABARZON,Antipolo Institute Of Technology (Aitech),LUC,CITY OF ANTIPOLO (CAPITAL),RIZAL PROVINCE,154,84.0,70.0,0.0,2018-2019
04 - CALABARZON,Balian Community College,LUC,PANGIL,LAGUNA,204,43.0,161.0,0.0,2018-2019
04 - CALABARZON,Batangas State University,SUC,BATANGAS CITY (CAPITAL),BATANGAS,25176,11465.0,13711.0,0.0,2018-2019
04 - CALABARZON,Cavite State University,SUC,INDANG,CAVITE,39321,17827.0,21493.0,1.0,2018-2019
04 - CALABARZON,City College Of Calamba,LUC,CITY OF CALAMBA,LAGUNA,1497,500.0,997.0,0.0,2018-2019
04 - CALABARZON,City College Of Tagaytay,LUC,CITY OF TAGAYTAY,CAVITE,2153,864.0,1289.0,0.0,2018-2019
04 - CALABARZON,Colegio De Montalban,LUC,RODRIGUEZ (MONTALBAN),RIZAL PROVINCE,3422,1638.0,1784.0,0.0,2018-2019
04 - CALABARZON,Colegio Ng Lungsod Ng Batangas,LUC,BATANGAS CITY (CAPITAL),BATANGAS,564,103.0,461.0,0.0,2018-2019
04 - CALABARZON,Dalubhasaan Ng Lungsod Ng Lucena,LUC,CITY OF LUCENA (CAPITAL),QUEZON PROVINCE,1478,535.0,943.0,0.0,2018-2019
04 - CALABARZON,Kolehiyo Ng Lungsod Ng Lipa,LUC,LIPA CITY,BATANGAS,5513,2209.0,3304.0,0.0,2018-2019
04 - CALABARZON,Laguna State Polytechnic University,SUC,SANTA CRUZ (CAPITAL),LAGUNA,19960,9624.0,10336.0,0.0,2018-2019
04 - CALABARZON,Laguna University,LUC,SANTA CRUZ (CAPITAL),LAGUNA,2286,1031.0,1255.0,0.0,2018-2019
04 - CALABARZON,Pamantasan Ng Cabuyao,LUC,CITY OF CABUYAO,LAGUNA,3349,1327.0,2022.0,0.0,2018-2019
04 - CALABARZON,Pamantasan Ng Lungsod Ng San Pablo,LUC,CITY OF SAN PABLO,LAGUNA,3148,1286.0,1862.0,0.0,2018-2019
04 - CALABARZON,Pambayang Kolehiyo Ng Mauban,LUC,MAUBAN,QUEZON PROVINCE,553,149.0,404.0,0.0,2018-2019
04 - CALABARZON,San Mateo Municipal College,LUC,SAN MATEO,RIZAL PROVINCE,2102,655.0,1447.0,0.0,2018-2019
04 - CALABARZON,Southern Luzon State University,SUC,LUCBAN,QUEZON PROVINCE,7703,3252.0,4451.0,0.0,2018-2019
04 - CALABARZON,Tanauan City College,LUC,CITY OF TANAUAN,BATANGAS,607,313.0,294.0,0.0,2018-2019
04 - CALABARZON,Trece Martires City College,LUC,CITY OF TRECE MARTIRES (CAPITAL),CAVITE,1062,406.0,656.0,0.0,2018-2019
04 - CALABARZON,University Of Rizal System,SUC,TANAY,RIZAL PROVINCE,13937,5741.0,8196.0,0.0,2018-2019
05 - Bicol Region,Aroroy Municipal College,LUC,AROROY,MASBATE,436,157.0,279.0,0.0,2018-2019
05 - Bicol Region,Baao Community College,LUC,BAAO,CAMARINES SUR,1230,446.0,784.0,0.0,2018-2019
05 - Bicol Region,Bicol State College Of Applied Sciences And Technology,SUC,CITY OF NAGA,CAMARINES SUR,3930,1877.0,1946.0,107.0,2018-2019
05 - Bicol Region,Bicol University,SUC,LEGAZPI CITY,ALBAY,12728,4981.0,7747.0,0.0,2018-2019
05 - Bicol Region,Calabanga Community College,LUC,CALABANGA,CAMARINES SUR,393,74.0,319.0,0.0,2018-2019
05 - Bicol Region,Camarines Norte State College,SUC,DAET (CAPITAL),CAMARINES NORTE,5608,2222.0,3385.0,1.0,2018-2019
05 - Bicol Region,Camarines Sur Polytechnic College,SUC,NABUA,CAMARINES SUR,4947,2147.0,2800.0,0.0,2018-2019
05 - Bicol Region,Caramoan Community College,LUC,CARAMOAN,CAMARINES SUR,949,317.0,632.0,0.0,2018-2019
05 - Bicol Region,Catanduanes State University,SUC,VIRAC (CAPITAL),CATANDUANES,5796,2604.0,3190.0,2.0,2018-2019
05 - Bicol Region,Central Bicol State University Of Agriculture,SUC,PILI (CAPITAL),CAMARINES SUR,8668,3550.0,5118.0,0.0,2018-2019
05 - Bicol Region,City College Of Naga,LUC,CITY OF NAGA,CAMARINES SUR,408,56.0,352.0,0.0,2018-2019
05 - Bicol Region,Community College Of Manito,LUC,MANITO,ALBAY,434,143.0,291.0,0.0,2018-2019
05 - Bicol Region,Daraga Community College,LUC,DARAGA,ALBAY,2708,748.0,1960.0,0.0,2018-2019
05 - Bicol Region,Donsol Community College,LUC,DONSOL,SORSOGON,572,241.0,331.0,0.0,2018-2019
05 - Bicol Region,"Dr. Emilio B. Espinosa, Sr. Memorial State College Of Agriculture And Technology",SUC,MANDAON,MASBATE,4553,2067.0,2486.0,0.0,2018-2019
05 - Bicol Region,Governor Mariano E. Villafuerte Community College,LUC,GARCHITORENA,CAMARINES SUR,367,142.0,225.0,0.0,2018-2019
05 - Bicol Region,Libon Community College,LUC,LIBON,ALBAY,935,338.0,597.0,0.0,2018-2019
05 - Bicol Region,Ligao Community College,LUC,CITY OF LIGAO,ALBAY,1441,552.0,889.0,0.0,2018-2019
05 - Bicol Region,Oas Community College,LUC,OAS,ALBAY,1587,569.0,1018.0,0.0,2018-2019
05 - Bicol Region,Partido State University,SUC,GOA,CAMARINES SUR,5201,2432.0,2768.0,1.0,2018-2019
05 - Bicol Region,Polangui Community College,LUC,POLANGUI,ALBAY,1279,481.0,798.0,0.0,2018-2019
05 - Bicol Region,Rapu-Rapu Community College,LUC,RAPU-RAPU,ALBAY,331,137.0,194.0,0.0,2018-2019
05 - Bicol Region,San Jose Community College,LUC,MALILIPOT,ALBAY,2784,1077.0,1707.0,0.0,2018-2019
