REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,FHE_GRANTEES,SEX_M,SEX_F,NOT_INDICATED,YEAR
01 - Ilocos Region,Binalatongan Community College,LUC,SAN CARLOS CITY,PANGASINAN,721,290,431,,2018-2019
01 - Ilocos Region,Don Mariano Marcos Memorial State University,SUC,SAN FERNANDO CITY,LA UNION,11726,5280,6446,,2018-2019
01 - Ilocos Region,Ilocos Sur Community College,LUC,VIGAN CITY,ILOCOS SUR,987,412,575,,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College,SUC,SANTA MARIA,ILOCOS SUR,4392,2007,2385,-,2018-2019
01 - Ilocos Region,Mariano Marcos State University,SUC,BATAC CITY,ILOCOS NORTE,7823,3250,4573,-,2018-2019
01 - Ilocos Region,North Luzon Philippines State College,SUC,CANDON CITY,ILOCOS SUR,2377,1013,1364,-,2018-2019
01 - Ilocos Region,Pangasinan State University,SUC,LINGAYEN,PANGASINAN,18784,7870,10871,43,2018-2019
01 - Ilocos Region,University Of Eastern Pangasinan,LUC,BINALONAN,PANGASINAN,1251,541,710,,2018-2019
01 - Ilocos Region,University Of Northern Philippines,SUC,VIGAN CITY,ILOCOS SUR,7911,3576,4335,,2018-2019
01 - Ilocos Region,Urdaneta City University,LUC,URDANETA CITY,PANGASINAN,2986,1151,1835,,2018-2019
02 - Cagayan Valley,Batanes State College,SUC,BASCO,BATANES,433,239,194,,2018-2019
02 - Cagayan Valley,Cagayan State University,SUC,TUGUEGARAO CITY,CAGAYAN,11607,4346,7261,,2018-2019
02 - Cagayan Valley,Isabela State University,SUC,ECHAGUE,ISABELA,22365,10719,11646,,2018-2019
02 - Cagayan Valley,Nueva Vizcaya State University,SUC,BAYOMBONG,NUEVA VIZCAYA,8589,3796,4793,,2018-2019
02 - Cagayan Valley,Quirino State University,SUC,DIFFUN,QUIRINO PROVINCE,3406,1481,1925,,2018-2019
03 - Central Luzon,Aurora State College Of Technology,SUC,BALER,AURORA,2293,1126,1167,,2018-2019
03 - Central Luzon,Baliwag Polytechnic College,LUC,BALIUAG,BULACAN,2094,868,1226,,2018-2019
03 - Central Luzon,Bataan Peninsula State University,SUC,CITY OF BALANGA (CAPITAL),BATAAN,10932,5258,5674,,2018-2019
03 - Central Luzon,Bulacan Agricultural State College,SUC,SAN ILDEFONSO,BULACAN,3059,1441,1618,,2018-2019
03 - Central Luzon,Bulacan Polytechnic College,LUC,CITY OF MALOLOS (CAPITAL),BULACAN,1165,431,734,,2018-2019
03 - Central Luzon,Bulacan State University,SUC,CITY OF MALOLOS (CAPITAL),BULACAN,32445,15220,17225,,2018-2019
03 - Central Luzon,Central Luzon State University,SUC,SCIENCE CITY OF MUÑOZ,NUEVA ECIJA,8694,3593,5101,,2018-2019
03 - Central Luzon,City College Of Angeles,LUC,CITY OF ANGELES,PAMPANGA,2124,967,1157,,2018-2019
03 - Central Luzon,City College Of San Fernando,LUC,CITY OF SAN FERNANDO (CAPITAL),PAMPANGA,503,99,404,,2018-2019
03 - Central Luzon,Don Honorio Ventura Technological State University,SUC,BACOLOR,PAMPANGA,19130,9915,9215,,2018-2019
03 - Central Luzon,Eduardo L. Joson Memorial College,LUC,CITY OF PALAYAN (CAPITAL),NUEVA ECIJA,761,191,570,,2018-2019
03 - Central Luzon,Guagua Community College,LUC,GUAGUA,PAMPANGA,230,89,141,,2018-2019
03 - Central Luzon,Kolehiyo Ng Subic,LUC,CITY OF OLONGAPO,ZAMBALES,1922,755,1167,,2018-2019
03 - Central Luzon,Mabalacat City College,LUC,MABALACAT CITY,PAMPANGA,3176,1357,1819,,2018-2019
03 - Central Luzon,Norzagaray College,LUC,NORZAGARAY,BULACAN,730,280,450,,2018-2019
03 - Central Luzon,Nueva Ecija University Of Science And Technology,SUC,CITY OF CABANATUAN,NUEVA ECIJA,16222,7537,8685,,2018-2019
03 - Central Luzon,Pambayang Dalubhasaan Ng Marilao,LUC,MARILAO,BULACAN,1473,625,848,,2018-2019
03 - Central Luzon,Pampanga State Agricultural University,SUC,MAGALANG,PAMPANGA,4069,1926,2143,,2018-2019
03 - Central Luzon,Philippine Merchant Marine Academy,SUC,SAN NARCISO,ZAMBALES,760,734,26,,2018-2019
03 - Central Luzon,Polytechnic College Of Botolan,LUC,BOTOLAN,ZAMBALES,468,174,294,,2018-2019
03 - Central Luzon,Polytechnic College Of The City Of Meycauayan,LUC,CITY OF MEYCAUAYAN,BULACAN,892,290,602,,2018-2019
03 - Central Luzon,President Ramon Magsaysay State University,SUC,IBA (CAPITAL),ZAMBALES,7465,3688,3777,,2018-2019
03 - Central Luzon,Tarlac Agricultural University,SUC,CAMILING,TARLAC,3413,1565,1848,,2018-2019
03 - Central Luzon,Tarlac State University,SUC,CITY OF TARLAC (CAPITAL),TARLAC,16721,7695,9026,,2018-2019
04 - CALABARZON,Antipolo Institute Of Technology (Aitech),LUC,CITY OF ANTIPOLO (CAPITAL),RIZAL PROVINCE,154,84,70,,2018-2019
04 - CALABARZON,Balian Community College,LUC,PANGIL,LAGUNA,204,43,161,,2018-2019
04 - CALABARZON,Batangas State University,SUC,BATANGAS CITY (CAPITAL),BATANGAS,25176,11465,13711,-,2018-2019
04 - CALABARZON,Cavite State University,SUC,INDANG,CAVITE,39321,17827,21493,1,2018-2019
04 - CALABARZON,City College Of Calamba,LUC,CITY OF CALAMBA,LAGUNA,1497,500,997,,2018-2019
04 - CALABARZON,City College Of Tagaytay,LUC,CITY OF TAGAYTAY,CAVITE,2153,864,1289,,2018-2019
04 - CALABARZON,Colegio De Montalban,LUC,RODRIGUEZ (MONTALBAN),RIZAL PROVINCE,3422,1638,1784,,2018-2019
04 - CALABARZON,Colegio Ng Lungsod Ng Batangas,LUC,BATANGAS CITY (CAPITAL),BATANGAS,564,103,461,,2018-2019
04 - CALABARZON,Dalubhasaan Ng Lungsod Ng Lucena,LUC,CITY OF LUCENA (CAPITAL),QUEZON PROVINCE,1478,535,943,,2018-2019
04 - CALABARZON,Kolehiyo Ng Lungsod Ng Lipa,LUC,LIPA CITY,BATANGAS,5513,2209,3304,,2018-2019
04 - CALABARZON,Laguna State Polytechnic University,SUC,SANTA CRUZ (CAPITAL),LAGUNA,19960,9624,10336,,2018-2019
04 - CALABARZON,Laguna University,LUC,SANTA CRUZ (CAPITAL),LAGUNA,2286,1031,1255,,2018-2019
04 - CALABARZON,Pamantasan Ng Cabuyao,LUC,CITY OF CABUYAO,LAGUNA,3349,1327,2022,,2018-2019
04 - CALABARZON,Pamantasan Ng Lungsod Ng San Pablo,LUC,CITY OF SAN PABLO,LAGUNA,3148,1286,1862,,2018-2019
04 - CALABARZON,Pambayang Kolehiyo Ng Mauban,LUC,MAUBAN,QUEZON PROVINCE,553,149,404,,2018-2019
04 - CALABARZON,San Mateo Municipal College,LUC,SAN MATEO,RIZAL PROVINCE,2102,655,1447,,2018-2019
04 - CALABARZON,Southern Luzon State University,SUC,LUCBAN,QUEZON PROVINCE,7703,3252,4451,,2018-2019
04 - CALABARZON,Tanauan City College,LUC,CITY OF TANAUAN,BATANGAS,607,313,294,,2018-2019
04 - CALABARZON,Trece Martires City College,LUC,CITY OF TRECE MARTIRES (CAPITAL),CAVITE,1062,406,656,,2018-2019
04 - CALABARZON,University Of Rizal System,SUC,TANAY,RIZAL PROVINCE,13937,5741,8196,,2018-2019
05 - Bicol Region,Aroroy Municipal College,LUC,AROROY,MASBATE,436,157,279,,2018-2019
05 - Bicol Region,Baao Community College,LUC,BAAO,CAMARINES SUR,1230,446,784,,2018-2019
05 - Bicol Region,Bicol State College Of Applied Sciences And Technology,SUC,CITY OF NAGA,CAMARINES SUR,3930,1877,1946,107,2018-2019
05 - Bicol Region,Bicol University,SUC,LEGAZPI CITY,ALBAY,12728,4981,7747,-,2018-2019
05 - Bicol Region,Calabanga Community College,LUC,CALABANGA,CAMARINES SUR,393,74,319,,2018-2019
05 - Bicol Region,Camarines Norte State College,SUC,DAET (CAPITAL),CAMARINES NORTE,5608,2222,3385,1,2018-2019
05 - Bicol Region,Camarines Sur Polytechnic College,SUC,NABUA,CAMARINES SUR,4947,2147,2800,-,2018-2019
05 - Bicol Region,Caramoan Community College,LUC,CARAMOAN,CAMARINES SUR,949,317,632,,2018-2019
05 - Bicol Region,Catanduanes State University,SUC,VIRAC (CAPITAL),CATANDUANES,5796,2604,3190,2,2018-2019
05 - Bicol Region,Central Bicol State University Of Agriculture,SUC,PILI (CAPITAL),CAMARINES SUR,8668,3550,5118,-,2018-2019
05 - Bicol Region,City College Of Naga,LUC,CITY OF NAGA,CAMARINES SUR,408,56,352,,2018-2019
05 - Bicol Region,Community College Of Manito,LUC,MANITO,ALBAY,434,143,291,,2018-2019
