REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,TES_GRANTEES,SEX_M,SEX_F,EDUC,ARTS,SOC_SCI,BUSINESS,NAT_SCI,INFO,ENG,AGRI,HEALTH,SERVICES,OTHERS,YEAR
01 - Ilocos Region,ABE International College of Business and Accountancy-Urdaneta City,Private HEI,URDANETA CITY,PANGASINAN,7,2,5,0,0,0,3,0,3,0,0,0,1,0,2018-2019
01 - Ilocos Region,AMA Computer College-Dagupan City,Private HEI,DAGUPAN CITY,PANGASINAN,10,6,4,0,0,0,0,0,9,1,0,0,0,0,2018-2019
01 - Ilocos Region,AMA Computer College-La Union,Private HEI,SAN FERNANDO CITY,LA UNION,10,7,3,0,0,0,0,0,10,0,0,0,0,0,2018-2019
01 - Ilocos Region,AMA Computer College-Laoag City,Private HEI,LAOAG CITY,ILOCOS NORTE,43,14,29,0,0,0,24,0,14,5,0,0,0,0,2018-2019
01 - Ilocos Region,Asbury College,Private HEI,ANDA,PANGASINAN,210,48,162,208,2,0,0,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Asiacareer College Foundation,Private HEI,DAGUPAN CITY,PANGASINAN,40,12,28,0,0,0,40,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Binalatongan Community College,LUC,SAN CARLOS CITY,PANGASINAN,339,106,233,190,0,0,0,0,149,0,0,0,0,0,2018-2019
01 - Ilocos Region,CICOSAT Colleges,Private HEI,SAN FERNANDO CITY,LA UNION,8,6,2,0,0,7,0,0,0,0,0,0,1,0,2018-2019
01 - Ilocos Region,Colegio de Dagupan,Private HEI,DAGUPAN CITY,PANGASINAN,139,62,77,41,0,1,32,0,38,21,0,4,2,0,2018-2019
01 - Ilocos Region,Colegio De San Juan De Letran-Manaoag,Private HEI,MANAOAG,PANGASINAN,144,46,98,54,0,0,40,0,50,0,0,0,0,0,2018-2019
01 - Ilocos Region,Colegio San Jose De Alaminos,Private HEI,ALAMINOS CITY,PANGASINAN,6,1,5,4,0,0,2,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Dagupan Colleges Foundation,Private HEI,DAGUPAN CITY,PANGASINAN,8,3,5,5,0,0,0,0,0,0,0,3,0,0,2018-2019
01 - Ilocos Region,Data Center College of the Philippines of Laoag City,Private HEI,LAOAG CITY,ILOCOS NORTE,34,7,27,15,0,0,19,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Data Center College of the Philippines-Vigan City,Private HEI,VIGAN CITY,ILOCOS SUR,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2018-2019
01 - Ilocos Region,Divine Word College of Laoag,Private HEI,LAOAG CITY,ILOCOS NORTE,37,12,25,0,0,0,11,0,1,11,0,4,10,0,2018-2019
01 - Ilocos Region,Divine Word College of Urdaneta,Private HEI,URDANETA CITY,PANGASINAN,4,1,3,1,0,0,2,0,1,0,0,0,0,0,2018-2019
01 - Ilocos Region,Divine Word College of Vigan,Private HEI,VIGAN CITY,ILOCOS SUR,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Mid La Union,SUC,SAN FERNANDO CITY,LA UNION,1236,575,661,240,50,92,159,0,55,601,0,0,37,2,2018-2019
01 - Ilocos Region,Don Mariano Marcos Memorial State University-North La Union-Main Campus,SUC,BACNOTAN,LA UNION,326,124,202,18,25,0,53,24,57,32,114,0,0,3,2018-2019
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Open University,SUC,SAN FERNANDO CITY,LA UNION,32,11,21,10,0,0,20,0,0,0,2,0,0,0,2018-2019
01 - Ilocos Region,Don Mariano Marcos Memorial State University-South La Union,SUC,AGOO,LA UNION,703,197,506,246,58,99,0,67,5,0,158,69,0,1,2018-2019
01 - Ilocos Region,Golden West Colleges,Private HEI,ALAMINOS CITY,PANGASINAN,23,11,12,8,0,7,5,0,3,0,0,0,0,0,2018-2019
01 - Ilocos Region,Ilocos Sur Community College,LUC,VIGAN CITY,ILOCOS SUR,265,90,175,0,0,0,51,0,67,0,0,31,116,0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College,SUC,SANTA MARIA,ILOCOS SUR,70,20,50,14,0,2,0,0,14,2,24,0,14,0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Candon,SUC,CANDON CITY,ILOCOS SUR,53,26,27,0,0,0,0,0,5,0,0,0,48,0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Cervantes,SUC,CERVANTES,ILOCOS SUR,15,3,12,11,0,0,0,0,0,0,4,0,0,0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Arts and Sciences-Tagudin,SUC,TAGUDIN,ILOCOS SUR,26,11,15,4,2,5,9,0,6,0,0,0,0,0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Engineering and Technology-Santiago,SUC,SANTIAGO,ILOCOS SUR,5,2,3,4,0,0,0,0,0,1,0,0,0,0,2018-2019
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences-Narvacan,SUC,NARVACAN,ILOCOS SUR,3,2,1,2,0,0,0,0,0,0,1,0,0,0,2018-2019
01 - Ilocos Region,"International Colleges for Excellence, inc",PRIVATE HEI,URDANETA CITY,PANGASINAN,4,1,3,3,0,0,0,0,1,0,0,0,0,0,2018-2019
01 - Ilocos Region,Kingfisher School of Business & Finance,Private HEI,DAGUPAN CITY,PANGASINAN,63,17,46,0,0,0,63,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,La Union Christian Comprehensive College,Private HEI,ROSARIO,LA UNION,8,5,3,0,0,0,0,0,0,0,0,0,8,0,2018-2019
01 - Ilocos Region,La Union College of Science and Technology,Private HEI,BAUANG,LA UNION,89,48,41,0,0,0,0,0,30,0,0,0,59,0,2018-2019
01 - Ilocos Region,Luna Colleges,Private HEI,TAYUG,PANGASINAN,57,26,31,57,0,0,0,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Lyceum Northern Luzon,Private HEI,URDANETA CITY,PANGASINAN,43,14,29,11,0,11,10,0,2,1,0,2,6,0,2018-2019
01 - Ilocos Region,Lyceum Northwestern University,Private HEI,DAGUPAN CITY,PANGASINAN,116,42,74,11,0,27,21,2,5,9,0,22,19,0,2018-2019
01 - Ilocos Region,Malasiqui Agno Valley College,Private HEI,MALASIQUI,PANGASINAN,392,117,275,392,0,0,0,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Mariano Marcos State University-College of Agriculture and Forestry-Dingras,SUC,DINGRAS,ILOCOS NORTE,24,4,20,0,0,0,0,0,0,0,24,0,0,0,2018-2019
01 - Ilocos Region,Mariano Marcos State University-College of Industrial Technology-Laoag City,SUC,LAOAG CITY,ILOCOS NORTE,229,116,113,17,0,0,0,0,0,212,0,0,0,0,2018-2019
01 - Ilocos Region,Mariano Marcos State University-College of Teacher Education-Laoag City,SUC,LAOAG CITY,ILOCOS NORTE,228,60,168,228,0,0,0,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Mariano Marcos State University-Main,SUC,BATAC CITY,ILOCOS NORTE,692,239,453,0,15,42,144,80,17,205,112,36,41,0,2018-2019
01 - Ilocos Region,Mary Help of Christians College Seminary,Private HEI,DAGUPAN CITY,PANGASINAN,41,41,0,0,41,0,0,0,0,0,0,0,0,0,2018-2019
01 - Ilocos Region,Metro-Dagupan Colleges,Private HEI,MANGALDAN,PANGASINAN,76,39,37,23,0,35,8,0,7,0,0,0,3,0,2018-2019
